price,title,link
"168,16",Tênis Masculino / Feminino Jogging 100 Olympikus,https://produto.mercadolivre.com.br/MLB-1715441469-tnis-masculino-feminino-jogging-100-olympikus-_JM#position=37&search_layout=grid&type=item&tracking_id=04ec548b-bc56-4ea8-b210-696234ce2539
"139,13",Kit 12 Calcinhas Feminina Biquíni Variadas Trifil,https://produto.mercadolivre.com.br/MLB-1559572195-kit-12-calcinhas-feminina-biquini-variadas-trifil-_JM#position=38&search_layout=grid&type=item&tracking_id=04ec548b-bc56-4ea8-b210-696234ce2539
"160,15",Olympikus Delta Masculino Adultos,https://www.mercadolivre.com.br/tnis-para-homem-olympikus-delta-cor-pretopretopreto-adulto-42-br/p/MLB19530917?pdp_filters=category:MLB1430%7Cdeal:MLB875643-1#searchVariation=MLB19530917&position=1&search_layout=grid&type=product&tracking_id=04ec548b-bc56-4ea8-b210-696234ce2539
"159,15",Olympikus Ultraleve 129g Feminino Adultos,https://www.mercadolivre.com.br/tnis-feminino-olympikus-ultraleve-129g-129g-cor-preto-adulto-37-br/p/MLB22286354?pdp_filters=category:MLB1430%7Cdeal:MLB875643-1#searchVariation=MLB22286354&position=2&search_layout=grid&type=product&tracking_id=04ec548b-bc56-4ea8-b210-696234ce2539
"155,15",Kit Com 10 Cuecas Boxer Com Elástico Masculina Branca Hering,https://produto.mercadolivre.com.br/MLB-2089509261-kit-com-10-cuecas-boxer-com-elastico-masculina-branca-hering-_JM#position=39&search_layout=grid&type=item&tracking_id=04ec548b-bc56-4ea8-b210-696234ce2539
"243,30",adidas Ultimashow Feminino Adultos,https://www.mercadolivre.com.br/tnis-para-feminino-adidas-ultimashow-cor-core-blackcore-blackcloud-white-adulto-37-br/p/MLB18704495?pdp_filters=category:MLB1430%7Cdeal:MLB875643-1#searchVariation=MLB18704495&position=3&search_layout=grid&type=product&tracking_id=04ec548b-bc56-4ea8-b210-696234ce2539
"76,7",Chinelo Masculino Slide Melbourne Branco E Preto Olympikus,https://produto.mercadolivre.com.br/MLB-1727333935-chinelo-masculino-slide-melbourne-branco-e-preto-olympikus-_JM#position=40&search_layout=grid&type=item&tracking_id=04ec548b-bc56-4ea8-b210-696234ce2539
"243,30",adidas Ultimashow Feminino Adultos,https://www.mercadolivre.com.br/tnis-feminino-adidas-ultimashow-cor-sky-tintsky-tintcloud-white-adulto-36-br/p/MLB18704573?pdp_filters=category:MLB1430%7Cdeal:MLB875643-1#searchVariation=MLB18704573&position=4&search_layout=grid&type=product&tracking_id=04ec548b-bc56-4ea8-b210-696234ce2539
"152,30",Mala De Treino Soft Masculino E Feminino Mizuno Preta Cor Preto Nome Do Desenho Liso,https://www.mercadolivre.com.br/mala-de-treino-soft-masculino-e-feminino-mizuno-preta-cor-preto-nome-do-desenho-liso/p/MLB23957459?pdp_filters=category:MLB1430%7Cdeal:MLB875643-1#searchVariation=MLB23957459&position=5&search_layout=grid&type=product&tracking_id=04ec548b-bc56-4ea8-b210-696234ce2539
"194,32",Under Armour Charged Wing Masculino Adultos,https://www.mercadolivre.com.br/tnis-masculino-under-armour-charged-wing-cor-azul-adulto-40-br/p/MLB23462031?pdp_filters=category:MLB1430%7Cdeal:MLB875643-1#searchVariation=MLB23462031&position=6&search_layout=grid&type=product&tracking_id=04ec548b-bc56-4ea8-b210-696234ce2539
